contador,fecha,hora,temperatura_ambiente,temperatura_lata
486,20-6-2019,15:44:52,38.61,38.25
487,20-6-2019,15:44:54,38.61,38.25
488,20-6-2019,15:44:56,38.12,38.25
489,20-6-2019,15:44:58,38.12,38.31
490,20-6-2019,15:45:0,38.61,38.25
491,20-6-2019,15:45:1,38.61,38.31
492,20-6-2019,15:45:3,38.12,38.31
493,20-6-2019,15:45:5,38.61,38.31
494,20-6-2019,15:45:7,38.61,38.31
495,20-6-2019,15:45:9,38.61,38.31
496,20-6-2019,15:45:10,38.61,38.31
497,20-6-2019,15:45:12,38.61,38.31
498,20-6-2019,15:45:14,38.61,38.25
499,20-6-2019,15:45:16,38.61,38.25
500,20-6-2019,15:45:18,38.61,38.25
501,20-6-2019,15:45:19,39.10,38.25
502,20-6-2019,15:45:21,39.10,38.25
503,20-6-2019,15:45:23,39.59,38.25
504,20-6-2019,15:45:25,39.59,38.31
505,20-6-2019,15:45:27,39.10,38.25
506,20-6-2019,15:45:28,39.59,38.25
