contador,fecha,hora,temperatura
615,20-6-2019,15:48:45,38.25
616,20-6-2019,15:48:47,38.25
617,20-6-2019,15:48:49,38.25
618,20-6-2019,15:48:51,38.25
619,20-6-2019,15:48:52,38.25
620,20-6-2019,15:48:54,38.25
621,20-6-2019,15:48:56,38.25
622,20-6-2019,15:48:58,38.25
623,20-6-2019,15:49:0,38.25
624,20-6-2019,15:49:1,38.31
625,20-6-2019,15:49:3,38.31
626,20-6-2019,15:49:5,38.31
627,20-6-2019,15:49:7,38.31
628,20-6-2019,15:49:9,38.31
629,20-6-2019,15:49:11,38.31
630,20-6-2019,15:49:12,38.31
631,20-6-2019,15:49:14,38.31
632,20-6-2019,15:49:16,38.31
633,20-6-2019,15:49:18,38.38
634,20-6-2019,15:49:20,38.38
635,20-6-2019,15:49:21,38.38
636,20-6-2019,15:49:23,38.38
637,20-6-2019,15:49:25,38.38
638,20-6-2019,15:49:27,38.38
639,20-6-2019,15:49:29,38.38
640,20-6-2019,15:49:30,38.38
641,20-6-2019,15:49:32,38.38
642,20-6-2019,15:49:34,38.38
